title,hexa,r,g,b
Alabaster,#DEBB9F,222,187,159
Beige,#C59567,197,149,103
Cappuccino,#935A37,147,90,55
Caramel,#B68962,182,137,98
Deep Cool,#67412C,103,65,44
Deep Espresso,#563025,86,48,37
Deep Walnut,#623522,98,53,34
Fair,#DFC3AB,223,195,171
Golden,#BB8758,187,135,88
Golden Honey,#BF8357,191,131,87
Light Ivory,#EFC6AA,239,198,170
Mahogany,#A06943,160,105,67
Medium Olive,#CE9971,206,153,113
Mocha,#78452A,120,69,42
Natural,#DBA380,219,163,128
Neutral Buff,#C4885E,196,136,94
Neutral Tan,#AF794D,175,121,77
Pale,#F6D3AD,246,211,173
Soft Beige,#CE9367,206,147,103
True Beige,#DBA776,219,167,118
Vanilla,#E9BB99,233,187,153
Walnut,#643A21,100,58,33
Warm Caramel,#A0603A,160,96,58
Warm Honey,#AB7046,171,112,70